epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.9421,1.33611,2.86921,1.64364,0.57454,0.85,0.87817,0.63489,1.64738,1.07035,1.38135,0,0,0
2,3.82861,1.20416,2.69406,1.511,0.56574,0.85,0.8488,0.6319,1.64478,1.06028,1.37173,1.17822e-06,1.17822e-06,1.17822e-06
3,5.65845,1.1601,3.63341,1.57315,0.55956,0.85,0.85083,0.63276,1.66527,1.06101,1.37731,2.33288e-06,2.33288e-06,2.33288e-06
4,7.48507,1.27724,2.74018,1.38866,0.56026,0.85,0.84952,0.61586,1.65912,1.05348,1.37599,3.46397e-06,3.46397e-06,3.46397e-06
5,9.29251,1.37198,3.08503,1.72634,0.5651,0.85,0.85526,0.63771,1.65728,1.04075,1.36954,4.5715e-06,4.5715e-06,4.5715e-06
6,11.2433,1.56189,4.11418,1.96485,0.54414,0.85,0.8936,0.63825,1.68403,1.05837,1.37582,5.65548e-06,5.65548e-06,5.65548e-06
7,13.1258,1.13976,1.91307,1.41952,0.53944,0.85173,0.89406,0.64255,1.68267,1.05915,1.37528,6.71588e-06,6.71588e-06,6.71588e-06
8,14.9093,1.37611,4.01878,1.61443,0.55029,0.85949,0.85911,0.61257,1.64201,1.05719,1.35113,7.75273e-06,7.75273e-06,7.75273e-06
9,16.7141,1.11618,2.70406,1.41099,0.56884,0.86386,0.81827,0.59503,1.6635,1.05919,1.36163,8.76602e-06,8.76602e-06,8.76602e-06
10,18.5671,1.18655,3.4473,1.59516,0.57996,0.86406,0.81417,0.59502,1.65531,1.05637,1.35492,9.75574e-06,9.75574e-06,9.75574e-06
11,20.4987,1.20761,2.4692,1.45278,0.59064,0.8637,0.85595,0.61995,1.65247,1.063,1.35423,1.07219e-05,1.07219e-05,1.07219e-05
12,22.3371,0.9914,2.00612,1.36598,0.58566,0.86399,0.85561,0.62083,1.66152,1.07352,1.36184,1.16645e-05,1.16645e-05,1.16645e-05
13,24.1927,0.87115,2.2381,1.132,0.59052,0.86667,0.85501,0.62082,1.64835,1.07325,1.35181,1.25835e-05,1.25835e-05,1.25835e-05
14,26.0088,1.0832,2.18871,1.4836,0.59793,0.86667,0.88803,0.62731,1.65165,1.09378,1.35624,1.3479e-05,1.3479e-05,1.3479e-05
15,27.8247,0.92887,1.64808,1.12293,0.60724,0.86667,0.88802,0.62731,1.65073,1.10137,1.35735,1.43509e-05,1.43509e-05,1.43509e-05
16,29.687,1.22336,2.48055,1.62356,0.61055,0.86667,0.87512,0.62676,1.66234,1.12288,1.36697,1.51993e-05,1.51993e-05,1.51993e-05
17,31.505,0.8444,1.78458,1.19115,0.62052,0.7,0.87291,0.62795,1.66147,1.13324,1.36991,1.60241e-05,1.60241e-05,1.60241e-05
18,33.3464,1.15671,1.55193,1.36045,0.62052,0.7,0.87291,0.62795,1.66147,1.13324,1.36991,1.68253e-05,1.68253e-05,1.68253e-05
19,35.1913,0.97843,1.90563,1.13551,0.77483,0.65,0.86188,0.61114,1.66856,1.17684,1.37891,1.7603e-05,1.7603e-05,1.7603e-05
